base_config_path,config_path,duration_sec,error,log_path,probe_id,returncode,run_key,run_label,runtime_config_path,schedule_total_steps,schedule_warmup_ratio,schedule_warmup_steps,status
/home/wcho/cd2688-object-detection-in-urban-environment-project-1/1_model_training/source_dir/pipeline.phase0_d1_res_768.config,/home/wcho/cd2688-object-detection-in-urban-environment-project-1/1_model_training/source_dir/pipeline.phase0_d1_res_768.steps_15000.confirm_r1.config,315.57914543151855,docker run exited with code 1,/home/wcho/cd2688-object-detection-in-urban-environment-project-1/1_model_training/experiments/phase1_runs/eff_d1_res768__confirm_r1/run.log,eff_d1_res768,1,eff_d1_res768__confirm_r1,confirm_r1,/home/wcho/cd2688-object-detection-in-urban-environment-project-1/1_model_training/source_dir/pipeline.phase0_d1_res_768.steps_15000.confirm_r1.config,15000,0.008333333333333333,125,failed
/home/wcho/cd2688-object-detection-in-urban-environment-project-1/1_model_training/source_dir/pipeline.phase0_d1_res_768.config,/home/wcho/cd2688-object-detection-in-urban-environment-project-1/1_model_training/source_dir/pipeline.phase0_d1_res_768.steps_15000.confirm_r2.config,315.79606795310974,docker run exited with code 1,/home/wcho/cd2688-object-detection-in-urban-environment-project-1/1_model_training/experiments/phase1_runs/eff_d1_res768__confirm_r2/run.log,eff_d1_res768,1,eff_d1_res768__confirm_r2,confirm_r2,/home/wcho/cd2688-object-detection-in-urban-environment-project-1/1_model_training/source_dir/pipeline.phase0_d1_res_768.steps_15000.confirm_r2.config,15000,0.008333333333333333,125,failed
/home/wcho/cd2688-object-detection-in-urban-environment-project-1/1_model_training/source_dir/pipeline.phase0_d1_anchor_scale_2p0_dense.config,/home/wcho/cd2688-object-detection-in-urban-environment-project-1/1_model_training/source_dir/pipeline.phase0_d1_anchor_scale_2p0_dense.steps_15000.confirm_r1.config,321.8662009239197,docker run exited with code 1,/home/wcho/cd2688-object-detection-in-urban-environment-project-1/1_model_training/experiments/phase1_runs/eff_d1_anchor_scale2p0_dense__confirm_r1/run.log,eff_d1_anchor_scale2p0_dense,1,eff_d1_anchor_scale2p0_dense__confirm_r1,confirm_r1,/home/wcho/cd2688-object-detection-in-urban-environment-project-1/1_model_training/source_dir/pipeline.phase0_d1_anchor_scale_2p0_dense.steps_15000.confirm_r1.config,15000,0.008333333333333333,125,failed
/home/wcho/cd2688-object-detection-in-urban-environment-project-1/1_model_training/source_dir/pipeline.phase0_d1_anchor_scale_2p0_dense.config,/home/wcho/cd2688-object-detection-in-urban-environment-project-1/1_model_training/source_dir/pipeline.phase0_d1_anchor_scale_2p0_dense.steps_15000.confirm_r2.config,320.2934422492981,docker run exited with code 1,/home/wcho/cd2688-object-detection-in-urban-environment-project-1/1_model_training/experiments/phase1_runs/eff_d1_anchor_scale2p0_dense__confirm_r2/run.log,eff_d1_anchor_scale2p0_dense,1,eff_d1_anchor_scale2p0_dense__confirm_r2,confirm_r2,/home/wcho/cd2688-object-detection-in-urban-environment-project-1/1_model_training/source_dir/pipeline.phase0_d1_anchor_scale_2p0_dense.steps_15000.confirm_r2.config,15000,0.008333333333333333,125,failed
